type	bibtype	key	author	title	journal	volume	number	pages	year	publisher	include	DOI	category
first	article	dey2021g	Dey, Upalabdha; Sarkar, Sharmilee; Teronpi, Valentina; Yella, Venkata Rajesh; Kumar, Aditya;	G-quadruplex motifs are functionally conserved in cis-regulatory regions of pathogenic bacteria: An in-silico evaluation	Biochimie	184		40-51	2021	Elsevier	Y	https://doi.org/10.1016/j.biochi.2021.01.017	
first	article	sarkar2021analysis	Sarkar, Sharmilee; Dey, Upalabdha; Khohliwe, Trust Boitumelo; Yella, Venkata Rajesh; Kumar, Aditya;	Analysis of nucleoid‐associated protein‐binding regions reveals DNA structural features influencing genome organization in Mycobacterium tuberculosis	FEBS letters	595	19	2504-2521	2021		Y	https://doi.org/10.1002/1873-3468.14178	
no	article	patra2023mir	Patra, Debarun; Roy, Soumyajit; Arora, Leena; Kabeer, Shaheen Wasil; Singh, Satpal; Dey, Upalabdha; Banerjee, Dipanjan; Sinha, Archana; Dasgupta, Suman; Tikoo, Kulbhushan;	miR-210-3p promotes obesity-induced adipose tissue inflammation and insulin resistance by targeting SOCS1-mediated NF-κB pathway	Diabetes	72	3	375-388	2023	American Diabetes Association	Y	https://doi.org/10.2337/db22-0284	
first	article	dey2023dna	Dey, Upalabdha; Olymon, Kaushika; Banik, Anikesh; Abbas, Eshan; Yella, Venkata Rajesh; Kumar, Aditya;	DNA structural properties of DNA binding sites for 21 transcription factors in the mycobacterial genome	Frontiers in Cellular and Infection Microbiology	13		1147544	2023	Frontiers Media SA	Y	https://doi.org/10.3389/fcimb.2023.1147544	
no	article	olymon2023role	Olymon, Kaushika; Dey, Upalabdha; Abbas, Eshan; Kumar, Aditya;	The Role of Whole-Genome Methods in the Industrial Production of Value-Added Compounds	Industrial Microbiology and Biotechnology: Emerging concepts in Microbial Technology			121-174	2023	Springer	Y	https://doi.org/10.1007/978-981-99-2816-3_6	
no	article	devi2022genome	Devi, Yengkhom Damayanti; Dey, Upalabdha; Kumar, Aditya; Singh, Chongtham Shyamsunder; Namsa, Nima D;	Genome Sequence of a Wa-Like G3P [8] Rotavirus from a 12-Month-Old Child with Diarrhea in Manipur, India	Microbiology Resource Announcements	11	8	e01254-21	2022	Am Soc Microbiol	Y	https://doi.org/10.1128/mra.01254-21	
no	article	dolley2024reverse	Dolley, Anutee; Goswami, Himanshu Ballav; Dowerah, Dikshita; Dey, Upalabdha; Kumar, Aditya; Hmuaka, Vanlal; Mukhopadhyay, Rupak; Kundu, Debasree; Varghese, George M; Doley, Robin;	Reverse vaccinology and immunoinformatics approach to design a chimeric epitope vaccine against Orientia tsutsugamushi	Heliyon	10	1		2024	Elsevier	Y	https://doi.org/10.1016/j.heliyon.2023.e23616	
no	article	patra2024adipose	Patra, Debarun; Ramprasad, Palla; Sharma, Shivam; Dey, Upalabdha; Kumar, Vinod; Singh, Satpal; Dasgupta, Suman; Kumar, Aditya; Tikoo, Kulbhushan; Pal, Durba;	Adipose tissue macrophage–derived microRNA-210-3p disrupts systemic insulin sensitivity by silencing GLUT4 in obesity	Journal of Biological Chemistry	300	6		2024	Elsevier	Y	https://doi.org/10.1016/j.jbc.2024.107328	
first	article	murthy2024discerning	Murthy, Smrithi; Dey, Upalabdha; Olymon, Kaushika; Abbas, Eshan; Yella, Venkata Rajesh; Kumar, Aditya;	Discerning the Role of DNA Sequence, Shape, and Flexibility in Recognition by Drosophila Transcription Factors	ACS Chemical Biology				2024	American Chemical Society	Y	https://doi.org/10.1021/acschembio.4c00202	
no	article	banerjee2024macrophage	Banerjee, Dipanjan and Patra, Debarun and Sinha, Archana and Chakrabarty, Dwaipayan and Patra, Aparup and Sarmah, Raktim and Dey, Upalabdha and Dutta, Rajdeep and Bhagabati, Sarada K and Mukherjee, Ashis K and others	Macrophage foam cell-derived mediator promotes spontaneous fat lipolysis in atherosclerosis models	Journal of Leukocyte Biology			qiae210	2024	Oxford University Press	Y	https://doi.org/10.1093/jleuko/qiae210	
no	article	manoj2024anti-tumor	Sharma, Manoj and Dey, Upalabdha and Das, Anindhya Sundar and Olymon, Kaushika and Kumar, Aditya and Mukhopadhyay, Rupak	Anti-tumor potential of high salt in breast Cancer cell lines	Molecular Biology Reports				2024	Springer Netherlands	Y	https://doi.org/10.1007/s11033-024-09925-4	
no	article	sarkar2024exploring	Sarkar, Sharmilee and Yadav, Mohit and Dey, Upalabdha and Sharma, Manoj and Mukhopadhyay, Rupak and Kumar, Aditya	Exploring the multifaceted role of pehR in Ralstonia solanacearum pathogenesis: enzyme activity, motility, and biofilm formation	Microbiological Research				2024	Urban & Fischer	Y	https://doi.org/10.1016/j.micres.2024.127925	
